,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome
126,poc,unavoidable,none,minor,scheduled
127,poc,unavoidable,none,major,scheduled
128,poc,unavoidable,none,hazardous,out-of-cycle
129,poc,unavoidable,none,catastrophic,immediate
130,poc,unavoidable,degraded,none,scheduled
131,poc,unavoidable,degraded,minor,scheduled
132,poc,unavoidable,degraded,major,out-of-cycle
133,poc,unavoidable,degraded,hazardous,out-of-cycle
134,poc,unavoidable,degraded,catastrophic,immediate
135,poc,unavoidable,MEF crippled,none,scheduled
136,poc,unavoidable,MEF crippled,minor,scheduled
137,poc,unavoidable,MEF crippled,major,out-of-cycle
138,poc,unavoidable,MEF crippled,hazardous,out-of-cycle
139,poc,unavoidable,MEF crippled,catastrophic,immediate
140,poc,unavoidable,MEF fail,none,out-of-cycle
141,poc,unavoidable,MEF fail,minor,out-of-cycle
142,poc,unavoidable,MEF fail,major,out-of-cycle
143,poc,unavoidable,MEF fail,hazardous,out-of-cycle
144,poc,unavoidable,MEF fail,catastrophic,immediate
145,poc,unavoidable,mission fail,none,immediate
146,poc,unavoidable,mission fail,minor,immediate
147,poc,unavoidable,mission fail,major,immediate
148,poc,unavoidable,mission fail,hazardous,immediate
149,poc,unavoidable,mission fail,catastrophic,immediate
150,active,small,none,none,defer
151,active,small,none,minor,defer
152,active,small,none,major,scheduled
153,active,small,none,hazardous,out-of-cycle
154,active,small,none,catastrophic,immediate
155,active,small,degraded,none,defer
156,active,small,degraded,minor,scheduled
157,active,small,degraded,major,scheduled
158,active,small,degraded,hazardous,out-of-cycle
159,active,small,degraded,catastrophic,immediate
160,active,small,MEF crippled,none,scheduled
161,active,small,MEF crippled,minor,scheduled
162,active,small,MEF crippled,major,scheduled
163,active,small,MEF crippled,hazardous,out-of-cycle
164,active,small,MEF crippled,catastrophic,immediate
165,active,small,MEF fail,none,scheduled
166,active,small,MEF fail,minor,scheduled
167,active,small,MEF fail,major,out-of-cycle
168,active,small,MEF fail,hazardous,out-of-cycle
169,active,small,MEF fail,catastrophic,immediate
170,active,small,mission fail,none,out-of-cycle
171,active,small,mission fail,minor,out-of-cycle
172,active,small,mission fail,major,out-of-cycle
173,active,small,mission fail,hazardous,immediate
174,active,small,mission fail,catastrophic,immediate
175,active,controlled,none,none,defer
176,active,controlled,none,minor,scheduled
