Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome
active,small,MEF fail,major,out-of-cycle
active,small,MEF fail,hazardous,out-of-cycle
active,small,MEF fail,catastrophic,immediate
active,small,mission fail,none,out-of-cycle
active,small,mission fail,minor,out-of-cycle
active,small,mission fail,major,out-of-cycle
active,small,mission fail,hazardous,immediate
active,small,mission fail,catastrophic,immediate
active,controlled,none,none,defer
active,controlled,none,minor,scheduled
active,controlled,none,major,scheduled
active,controlled,none,hazardous,out-of-cycle
active,controlled,none,catastrophic,immediate
active,controlled,degraded,none,scheduled
active,controlled,degraded,minor,scheduled
active,controlled,degraded,major,out-of-cycle
active,controlled,degraded,hazardous,out-of-cycle
active,controlled,degraded,catastrophic,immediate
active,controlled,MEF crippled,none,scheduled
active,controlled,MEF crippled,minor,scheduled
active,controlled,MEF crippled,major,out-of-cycle
active,controlled,MEF crippled,hazardous,out-of-cycle
active,controlled,MEF crippled,catastrophic,immediate
active,controlled,MEF fail,none,out-of-cycle
active,controlled,MEF fail,minor,out-of-cycle
active,controlled,MEF fail,major,out-of-cycle
active,controlled,MEF fail,hazardous,immediate
active,controlled,MEF fail,catastrophic,immediate
active,controlled,mission fail,none,immediate
active,controlled,mission fail,minor,immediate
active,controlled,mission fail,major,immediate
active,controlled,mission fail,hazardous,immediate
active,controlled,mission fail,catastrophic,immediate
active,open,none,none,defer
active,open,none,minor,scheduled
active,open,none,major,out-of-cycle
active,open,none,hazardous,immediate
active,open,none,catastrophic,immediate
active,open,degraded,none,scheduled
active,open,degraded,minor,out-of-cycle
active,open,degraded,major,out-of-cycle
active,open,degraded,hazardous,immediate
active,open,degraded,catastrophic,immediate
active,open,MEF crippled,none,out-of-cycle
active,open,MEF crippled,minor,out-of-cycle
active,open,MEF crippled,major,out-of-cycle
active,open,MEF crippled,hazardous,immediate
active,open,MEF crippled,catastrophic,immediate
active,open,MEF fail,none,immediate
active,open,MEF fail,minor,immediate
active,open,MEF fail,major,immediate
active,open,MEF fail,hazardous,immediate
active,open,MEF fail,catastrophic,immediate
active,open,mission fail,none,immediate
active,open,mission fail,minor,immediate
active,open,mission fail,major,immediate
active,open,mission fail,hazardous,immediate
active,open,mission fail,catastrophic,immediate
